"","person","block","visualise","trialNumber","nTrials","responseTimeMean","responseTimeMedian","stddev","stderr","lower","upper"
"1","1"," coloured","no","1",55,602.406290909091,562.467,0.319913050480867,0.0431370669268794,3.84599745895533e+261,4.55456619384827e+261
"2","2"," coloured","no","1",55,704.302145454545,637.996,0.332535198044543,0.0448390369571636,6.8606869755026e+305,8.17905488163998e+305
"3","3"," coloured","no","1",57,689.927350877193,650.982,0.300476023141527,0.0397990215173177,3.96062558895993e+299,4.62933928155561e+299
"4","4"," coloured","no","1",53,889.646358490566,843.333,0.310255527119775,0.0426168741733701,Inf,Inf
"5","5"," coloured","no","1",56,576.885607142857,533.6545,0.240511408121419,0.0321396888143183,3.24248530197895e+250,3.67784758036384e+250
"6","6"," coloured","no","1",58,541.454672413793,526.5765,0.233358519381456,0.0306414747574055,1.33258180816406e+235,1.50265395898008e+235
"7","7"," coloured","no","1",52,779.616115384615,775.866,0.268109881201663,0.0371801509281213,Inf,Inf
"8","8"," coloured","no","1",56,541.454357142857,511.447,0.236898638593241,0.0316569121788961,1.32951304203995e+235,1.50517299302555e+235
"9","9"," coloured","no","1",58,447.369172413793,431.008,0.164658600006448,0.0216207334065226,1.86878359540863e+194,2.03407467520314e+194
"10","10"," coloured","no","1",56,781.68725,721.244,0.316718800601346,0.0423233299928647,Inf,Inf
"11","11"," coloured","no","1",57,691.618877192982,681.751,0.256183649475149,0.0339323533080844,2.17459378653183e+300,2.48396657348744e+300
"12","12"," coloured","no","1",54,770.407481481481,700.9445,0.277690668237186,0.037788913528533,Inf,Inf
"13","13"," coloured","no","1",57,705.513192982456,698.253,0.185668236819798,0.0245923587347038,2.39636619166095e+306,2.63888254567728e+306
"14","14"," coloured","no","1",58,611.617,596.2775,0.26070680861875,0.0342324810619704,3.91515411408624e+265,4.47741566487247e+265
"15","15"," coloured","no","1",52,522.362096153846,484.2895,0.330226958897235,0.0457942397247892,6.60685949890539e+226,7.9059990684991e+226
"16","16"," coloured","no","1",57,661.606087719298,623.604,0.275000386787241,0.0364246910505104,1.99925304949472e+287,2.30610147227259e+287
"17","17"," coloured","no","1",51,450.907176470588,432.774,0.286309069784359,0.0400912888295624,6.19972174151695e+195,7.25479233961817e+195
"18","18"," coloured","no","1",56,429.873035714286,413.5095,0.296527179440443,0.0396251111190206,4.54734342403886e+186,5.31149656849881e+186
"19","19"," coloured","no","1",56,470.591392857143,443.0795,0.299086332666256,0.039967092353708,2.19393862039837e+204,2.56605419751349e+204
"20","20"," coloured","no","1",53,929.251075471698,871.303,0.241212065372093,0.0331330253307387,Inf,Inf
"21","21"," coloured","no","1",55,916.8212,856.042,0.261718398014717,0.0352901015891244,Inf,Inf
"22","22"," coloured","no","1",54,618.079037037037,566.993,0.278659002746218,0.0379206871645029,2.48906606990071e+268,2.88797816808634e+268
"23","23"," coloured","no","1",53,553.565433962264,487.371,0.362574708039482,0.0498034663698345,2.33356431961501e+240,2.83665754356661e+240
"24","24"," coloured","no","1",57,504.832421052632,481.485,0.254062164642027,0.0336513557774351,1.6492638380752e+219,1.88182555251247e+219
"25","25"," coloured","no","1",56,518.245232142857,482.8255,0.229541142434342,0.0306737253984995,1.10900777306103e+225,1.25070416034192e+225
"26","26"," coloured","no","1",60,533.760683333333,516.6485,0.202480917121217,0.0261401739978426,6.12446931772469e+231,6.78532093441009e+231
